0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284
0.0,6.7833,11.9333,41.9667,28.1,11.0,38.7667,30.8,16.2167,26.1,14.75,24.6667,26.2833,31.9667,22.2333,20.5,34.85,18.35,30.6333,30.6,21.8833,21.5167,24.8167,22.1667,12.4,20.5333,18.4667,5.4667,32.8333,16.55,43.8333,22.75,15.0833,17.3667,32.7167,37.2333,43.25,23.3,46.6167,30.5,24.55,46.7833,20.7,22.95,15.5833,47.4,49.9667,14.7167,7.0667,17.1333,44.25,36.0167,40.8667,36.8,24.95,25.9833,17.8833,4.0333,42.9833,6.7833,21.35,32.5,10.4167,45.3833,42.8333,44.0333,22.9,43.1833,23.7667,37.5167,11.8333,34.95,20.4667,31.35,24.5333,24.7,12.15,7.9833,16.4667,11.7667,42.4167,19.35,19.4833,29.55,42.6667,31.05,14.7167,16.0333,8.5167,35.2,22.4833,17.2833,14.3667,12.0,17.6833,28.7333,36.6,29.5333,27.5833,7.35,25.8167,39.35,44.25,46.95,18.5667,10.4167,21.5167,38.4667,38.8667,28.5,20.2667,20.0333,31.3167,16.05,39.5167,28.3667,44.0333,28.45,44.9333,36.3667,45.05,43.1167,40.3833,10.6833,38.5667,11.85,25.45,22.35,39.8667,33.2333,19.7,16.15,43.9833,32.3833,37.5,18.1333,47.8,25.9,36.9333,40.3667,20.6833,32.75,42.85,51.6333,29.85,35.75,8.15,41.4167,27.2167,39.3167,38.8833,18.3,38.7333,38.3667,43.2667,40.55,30.3333,43.25,48.3667,48.7833,23.8667,40.3833,41.5167,41.5333,26.6333,13.55,47.9,39.3667,37.1167,16.0667,45.0167,28.0833,20.5333,56.75,22.5667,14.5667,26.8167,21.15,31.65,15.9333,29.85,29.5333,36.0667,24.0167,55.3167,27.6833,17.25,28.5833,41.1833,37.7833,31.3667,22.2333,25.0833,26.8167,19.1167,40.3833,43.6167,22.4167,7.9167,30.85,45.0,30.25,50.9833,42.15,26.1667,40.0667,48.35,16.8167,49.6333,51.1333,24.0167,32.7833,32.9,43.0333,42.8333,53.6667,21.9667,41.1333,37.6833,33.45,24.7667,23.2333,41.35,23.9167,42.6,23.75,43.7167,22.5333,46.4167,39.8833,28.8833,41.2667,41.9833,15.45,43.5333,47.7667,21.6167,23.0167,22.95,11.7667,50.4667,32.95,22.2333,26.9,53.75,45.9833,23.2667,26.3167,38.6833,23.4833,42.7333,41.2,33.3667,30.3,10.0333,21.35,44.9667,25.7833,54.9,25.9667,23.3667,37.1667,27.8667,29.8333,26.1833,26.05,35.05,18.8,17.0667,51.7,37.9667,27.1833,37.3,34.1167,26.3167,32.0167,12.2667,13.8667,18.3,28.7,25.1333,40.7333,52.7833,25.7667,40.0333
7.25,0.0,14.55,38.05,31.1,13.6167,35.1333,33.5,18.8333,28.7167,17.3667,27.2833,26.75,28.2833,22.5167,21.0333,37.55,20.9667,33.3333,31.0167,22.4167,22.05,25.3,22.65,13.3833,23.15,19.0167,7.8,35.5167,17.1,46.5333,23.2833,17.7,19.9833,35.4167,33.7833,45.95,23.4,49.3167,26.7833,27.1667,49.4833,23.3167,21.7333,19.25,50.1,52.65,15.6833,11.9167,17.6667,39.3167,38.7167,43.55,33.35,27.5667,26.45,18.4167,8.8833,45.6833,6.2333,23.9667,35.2,13.0333,48.0833,45.5333,46.7333,25.5167,45.8667,24.0333,40.2167,14.45,37.6333,20.75,27.6,27.15,27.3167,14.7667,12.5167,19.0833,14.4,45.1167,19.8833,19.7667,29.8333,39.0333,31.4833,14.8333,16.3333,14.3,35.5667,22.9667,19.9,16.9833,14.6167,18.2333,29.15,39.3,29.9667,30.2,7.0833,28.4333,42.05,46.95,44.7667,18.8667,13.0333,18.3,41.1667,39.2333,28.7833,20.8,20.6833,34.0167,15.8,35.6,30.9833,46.7167,28.7333,47.6333,36.7333,47.7333,45.8167,34.4333,14.5,41.2667,11.9333,25.9333,24.9667,40.25,35.9167,19.9833,16.7,46.6833,35.0833,34.0,18.6667,50.5,26.3833,33.0167,43.0667,23.3,27.3333,45.55,54.3333,30.2833,32.2667,10.7667,48.4,27.5,46.3167,45.8667,25.15,49.8833,49.3667,50.2667,47.55,30.6333,43.6167,48.7,55.8,24.1333,40.75,48.5,48.5167,31.1333,18.0167,61.5,46.35,44.1167,22.9,45.3833,28.3833,27.4167,57.0167,29.4167,19.05,33.7333,25.6667,31.9833,20.8,36.8333,39.6833,43.0667,28.5167,55.5833,27.9667,24.2,28.8833,48.1833,38.1667,38.3667,29.0167,31.9667,33.7333,22.35,47.3667,43.9833,30.1,13.7833,37.85,51.9833,37.2333,57.9833,42.5167,33.0833,47.05,55.3667,17.8,49.9667,58.15,30.8667,39.7667,33.2667,43.4,43.2,60.6667,28.5167,48.1167,38.0667,40.45,31.65,31.0333,48.3333,28.4333,49.5833,28.2667,56.5,27.0667,53.4333,46.8667,35.8667,48.25,42.35,22.3,43.9,48.0833,28.5167,27.5333,29.7833,18.6,57.4667,33.3167,29.0833,33.8167,54.05,46.3,30.4333,33.2333,49.8833,30.3333,49.7333,48.1833,33.7333,37.2833,13.05,28.5,45.3333,32.6667,55.1667,26.25,27.8333,43.3833,30.05,36.8167,30.6833,26.35,35.4333,23.2833,23.9167,58.7,38.35,34.1,44.2833,41.1167,30.8167,39.0,15.2833,20.7,22.7833,29.0,29.6333,47.7167,53.0833,32.65,47.0167
10.4667,13.65,0.0,44.9167,23.2167,3.7833,29.6167,33.8,11.2833,29.1,10.7667,27.65,25.3833,34.9667,34.15,18.0667,37.9,21.6333,33.6333,33.4667,24.8667,24.8,27.75,25.1,15.65,15.65,14.6,14.4333,35.8167,19.8333,46.8833,17.6833,10.15,12.4833,35.7167,40.1833,46.2833,32.3833,49.7,33.5,19.65,49.8667,23.6833,25.95,12.4333,50.4833,53.05,20.6,9.3167,20.4167,47.3,39.05,43.9,39.75,20.0667,28.9167,21.1667,10.9167,46.0333,13.65,16.4167,35.5,10.95,48.4333,45.8833,47.0833,18.0167,46.2167,34.95,40.5667,14.2167,38.0,28.2667,34.35,27.5167,27.6833,7.2,10.9,11.5333,3.05,45.3667,17.5667,27.2667,40.7,30.4,33.9333,20.4167,23.8333,11.4333,43.0833,18.5833,12.3333,9.4333,8.8,13.8667,23.9167,39.65,24.55,30.5667,14.9,20.9333,42.3167,47.3,50.0333,26.3667,1.6833,24.5,41.5,50.6,40.0,17.8,12.55,34.3167,20.35,42.4667,31.3667,47.0833,39.7333,47.9833,44.1667,48.1,46.15,29.1,13.6,41.6167,17.8833,20.2167,17.4667,48.6167,36.2167,27.4833,19.15,47.0333,35.3833,40.45,21.1333,50.8833,23.6,39.8833,43.4167,15.8,35.6667,45.8833,54.7167,23.8167,38.7,5.0167,42.4167,25.4833,40.3167,39.8833,19.2833,39.7333,39.3667,44.2667,41.55,41.5,41.5,60.0667,49.7833,27.4,37.1667,42.5167,42.5333,27.6333,14.5333,48.9,40.3667,38.1167,17.05,56.7667,26.3667,21.5167,68.7167,23.5667,15.55,27.8,22.1333,35.6833,16.9167,30.85,30.5167,37.0667,25.0167,67.2667,25.95,18.2333,43.25,42.1833,49.5333,32.3667,23.2333,26.0833,27.8,22.3167,41.3833,55.35,23.4167,5.6833,31.85,46.0,31.25,51.9833,53.9,27.15,41.05,49.35,20.1667,61.3333,52.1333,25.0,33.7667,44.05,54.7667,39.5833,54.7,22.95,42.1333,49.4333,34.45,25.75,24.2167,42.35,24.9,43.5833,24.7333,44.7,23.5333,47.4167,40.8833,29.8833,42.2667,53.7333,16.4333,39.05,59.4667,22.6167,24.0,23.9333,12.75,51.4667,44.1167,23.2333,27.8833,47.6833,43.7167,24.25,27.3,39.6667,24.4833,43.7333,42.1833,44.5167,31.3,13.95,22.3333,56.7167,26.7667,44.3167,37.1167,24.3667,38.1667,28.8667,30.8333,27.1833,28.5333,46.2167,19.7833,18.05,52.7333,38.0333,28.1667,38.3,35.1167,27.3,33.0,12.4833,14.85,19.2833,44.6167,26.1333,41.7333,64.75,26.75,41.0333
40.7167,36.8833,37.2333,0.0,19.6833,36.8833,12.3667,34.15,41.7167,19.15,28.1167,22.0,21.6833,13.5167,41.55,25.95,15.9833,27.4167,37.6833,15.5667,20.15,21.3833,14.8167,22.3,32.4,28.2333,25.4333,40.6,30.2167,24.85,30.1833,27.9667,40.5833,42.7667,29.5167,14.3833,35.85,39.7667,32.2667,15.75,23.15,33.7333,31.3333,33.15,27.3667,37.0667,35.6167,49.3667,37.6667,26.2333,36.7833,12.8833,33.45,11.5,23.2667,21.4,25.6833,41.7833,35.6,36.8833,28.9167,25.4167,30.45,31.65,22.2167,31.4333,28.0667,32.8833,42.35,10.5167,29.55,12.6333,43.2833,16.8667,34.7333,22.0667,37.65,38.75,41.9667,35.8167,7.6167,23.5667,40.9,32.3833,16.2667,13.8667,35.1167,42.1833,39.2667,36.0333,26.0333,42.7833,39.8667,31.5167,26.4667,20.4167,11.2,19.5167,37.7833,37.3333,25.0833,8.4167,33.3833,39.4833,41.1833,35.9333,31.8,26.2,39.4333,37.5167,24.4833,25.3833,34.2333,45.6167,6.2667,26.2167,36.5667,35.75,37.45,34.3667,34.7,29.7333,14.4333,41.45,27.55,40.0,25.1333,29.9,38.1,31.8667,43.8,27.2167,36.5167,19.6667,10.4333,22.85,33.4667,21.3167,8.3167,30.8333,29.45,14.8167,32.5667,38.0333,20.1333,10.0333,33.5333,57.1167,43.9667,55.0667,67.85,47.0,54.9167,53.3167,72.35,69.5167,33.1,46.35,52.65,69.85,51.4,41.3667,70.4833,66.4667,55.5,42.2333,66.4,68.3333,52.8667,44.8333,49.3333,41.45,49.2333,60.8167,51.2667,43.25,48.8833,49.8333,38.6,44.7167,56.6333,42.2667,65.0167,52.8833,59.3667,44.4167,46.0167,37.0833,70.15,41.2167,60.3167,50.95,55.95,44.5667,54.7167,56.0833,47.9333,58.6167,36.0167,59.8,74.0833,54.5167,80.0667,46.5167,57.0167,69.0167,77.4333,49.7833,53.9167,80.2167,52.75,49.9833,37.7,47.35,46.3333,82.7667,57.0333,70.1,38.5,62.4,53.7,59.6,70.3167,52.6333,71.6833,52.4667,61.3833,51.2333,75.5,68.85,58.0,70.2333,41.6167,44.15,49.1333,52.05,50.3333,51.7,51.65,40.5333,72.65,37.0667,50.9333,57.75,61.4667,50.25,58.9333,55.25,57.45,52.2167,71.8167,70.15,40.4333,59.25,43.1333,57.0167,49.3,54.5167,59.95,32.35,56.35,46.1167,50.9333,58.7833,55.05,53.8333,40.2333,47.4833,45.7667,80.7833,38.9833,55.9167,53.0333,58.55,55.1833,60.9667,40.2667,42.6333,46.9833,37.4333,54.0,69.7,56.8833,54.5,56.1833
27.2,30.0,20.6,21.2167,0.0,20.2667,9.45,41.0167,25.1,23.5667,20.6667,27.9167,8.75,21.2833,40.1667,19.7833,28.2667,25.2,39.6667,11.45,16.1333,21.85,11.65,14.4167,27.4,11.0333,17.0333,25.25,41.85,22.5667,38.5833,13.2333,23.9333,26.1667,41.75,11.2333,44.3333,38.4,40.65,18.9833,6.7333,42.1,29.7667,31.9333,22.0833,45.55,43.9667,31.6833,21.0333,23.5167,45.2667,25.1667,41.95,11.2667,6.1,9.1333,22.9833,25.8167,44.0833,30.0,13.4,36.9167,22.7833,40.0167,30.6667,39.8,10.8667,41.4,40.9667,23.2667,24.2333,23.35,41.9,25.6167,33.5333,26.7667,21.0,22.1,25.35,19.2,23.6833,18.25,39.5333,46.7833,10.2333,10.05,33.9,34.75,22.6167,49.1,13.75,26.1667,23.2167,20.6333,20.8333,4.2667,23.95,2.2667,36.6167,30.3667,7.8167,21.95,41.75,47.9667,37.2833,19.3167,30.5667,34.65,56.6667,46.0167,19.15,16.4333,40.35,31.4333,15.7167,34.0,45.05,45.7333,45.9333,42.85,43.1833,38.1333,8.4167,24.8333,36.05,32.5833,12.5,11.2167,46.5833,42.25,42.4167,21.8833,45.0,31.1667,14.6667,20.5667,41.8333,10.2667,18.8167,39.3833,11.2167,17.1,41.0833,46.3833,2.8833,13.55,20.6667,53.5167,36.6,51.4167,50.9833,30.4167,50.8333,50.4667,55.4333,52.6667,47.5833,52.6167,66.15,60.95,38.5333,48.2667,53.6333,53.6333,38.7333,25.6167,60.0667,51.4667,49.2167,28.2333,62.8333,37.4833,32.6333,74.8167,34.6833,26.6333,38.9333,33.2167,53.1167,28.1167,41.95,41.6333,48.1667,36.1,73.3667,37.0667,29.4167,49.2667,53.3,55.6,43.4667,34.35,37.2,38.9333,33.4,52.4833,61.4167,34.5333,19.4,42.95,57.15,42.35,63.1333,59.95,38.2833,52.15,60.5167,31.2667,67.4833,63.3,36.1333,44.8667,50.1333,60.8333,50.6833,65.8333,34.0833,53.25,55.4833,45.55,36.8667,35.35,53.4667,36.0,54.75,35.8333,55.8667,34.6167,58.5833,51.9833,40.9833,53.3833,59.7833,27.5667,61.3333,65.55,33.7333,35.1,35.0667,23.9,62.6167,50.1833,34.35,39.0167,58.85,63.75,35.3833,38.4333,50.7667,35.6,54.9,53.3,50.6,42.4,25.1333,33.45,62.7833,37.9,55.4833,43.1667,35.4833,49.2667,39.9667,41.9333,38.2833,39.6333,52.35,30.8667,29.1833,63.8667,54.9833,39.3,49.4,46.2167,38.4167,44.1167,23.6333,26.0333,30.3667,50.6333,37.2333,52.85,70.8833,37.8833,52.1333
7.0333,10.2167,7.3167,41.45,24.65,0.0,38.25,30.3333,12.7,25.6333,9.2667,24.1833,25.75,31.5167,30.6833,20.0333,34.4333,18.1667,30.1667,30.0167,21.4167,21.3333,24.2833,21.6333,12.2167,17.0667,18.0167,11.0,32.3667,16.3833,43.4167,19.1,11.5667,13.9,32.2667,36.7333,42.8167,28.9167,46.2167,30.0333,21.1,46.3667,20.2333,22.4833,10.95,46.9833,49.5667,18.3,10.5333,16.95,43.8333,35.6,40.4333,36.3,21.5,25.45,17.7,9.3,42.5667,10.2167,17.8333,32.0333,9.0167,44.9667,42.4167,43.6167,19.4333,42.75,31.4833,37.1,11.8167,34.5333,24.8,30.8833,24.0667,24.2167,8.6333,14.2167,12.95,7.4,41.9167,18.8833,23.8,37.2333,31.8333,30.4667,16.95,20.3833,14.75,39.6333,20.0333,13.7667,10.85,7.25,12.3667,28.15,36.1833,25.9833,27.1167,11.4667,22.3667,38.85,43.8333,46.5333,22.9167,6.1667,21.0333,38.05,47.1167,36.5333,19.7833,14.5,30.85,19.8333,39.0167,27.9,43.6167,36.2667,44.5333,40.7,44.6333,42.6833,39.8667,16.9333,38.15,14.45,21.65,18.8833,45.15,32.7667,24.0333,15.7,43.5667,31.9333,36.9833,17.6667,47.4,25.3833,36.4167,39.95,17.2167,32.2,42.4333,51.2167,25.2667,35.2333,2.6667,45.9167,28.95,43.8167,43.3833,22.7167,57.7667,42.8667,47.7667,45.05,38.0333,51.5,56.5833,53.2833,28.2,47.9667,46.0167,46.0333,31.1,17.95,52.4,43.8667,41.6167,20.4833,53.2667,29.8333,24.9833,65.2167,27.0333,18.9667,31.2667,25.6,43.6667,20.35,34.3167,33.9833,40.5667,28.4833,63.7667,29.4167,21.6667,39.8,45.6833,46.05,35.8333,26.7,29.55,31.2667,24.8333,44.8833,51.8667,26.8833,7.6333,35.3167,49.5,34.7167,55.5833,50.4,30.6167,44.55,52.85,20.2833,57.85,55.75,28.4667,37.2333,40.6,51.2833,51.0833,58.3,26.4167,45.6333,45.9333,37.9167,29.2167,27.6833,45.85,28.3667,47.1,28.2,48.2,27.0,50.9167,44.3833,33.35,45.7667,50.2333,19.8667,51.7833,55.9667,26.0833,27.4667,27.4,16.1667,55.0667,40.65,26.7,31.35,62.2167,54.1833,27.7167,30.7667,43.1667,27.95,47.2333,45.6833,41.0667,34.7667,15.6333,25.8,53.2167,30.2333,63.35,33.65,27.8333,41.6667,32.3333,34.3,30.65,30.4667,42.75,23.2167,21.4833,56.3333,45.5,31.6333,41.8,38.5833,30.7667,36.4667,15.9,18.2667,22.7167,41.1667,29.6,45.2333,61.25,30.2167,44.5333
32.6833,36.4,26.0833,13.9167,9.1667,25.75,0.0,40.55,30.5833,19.1667,28.5,24.1,14.7,14.9,39.7167,25.5833,22.8833,25.75,39.2,11.0333,19.75,21.3833,14.4333,21.9167,30.75,16.4667,22.5167,30.7333,34.0167,25.1667,33.85,18.6667,29.4167,31.65,33.3167,10.3333,39.6333,37.9667,35.9167,15.6333,12.0667,37.3667,29.3167,31.4833,27.7,40.8333,39.25,37.1667,26.5167,26.1333,40.55,19.75,37.2333,7.25,11.3833,15.0667,25.85,31.3,39.3667,36.4,18.8167,32.3333,30.8167,35.3,26.0,35.0833,16.2833,36.6667,40.5167,17.5167,29.0667,16.9667,41.45,21.15,33.0667,23.8667,26.4833,27.5833,30.8333,24.6833,19.0167,23.2,39.0667,36.1833,3.9,9.3333,33.4333,44.6,28.1,39.8,19.1833,31.65,28.7,26.1167,26.8,11.25,18.2,9.6,36.1667,36.85,13.15,16.2167,37.0333,43.25,39.3333,24.8,30.1333,29.9833,43.2167,45.65,24.1,21.8667,39.9,36.9167,9.6167,30.8833,40.3333,45.3667,41.2167,38.1333,38.4667,33.4,5.8833,30.3167,31.35,36.8333,18.0,16.6333,41.8667,35.6667,41.9667,26.6833,40.2833,26.5667,8.9167,23.1667,37.1,17.9,13.0833,34.65,16.6333,14.4333,36.35,41.6667,10.2,7.8,26.15,60.9,42.1333,58.85,56.55,35.9,58.7,66.75,61.0,58.2333,36.8833,50.1167,65.9667,66.5167,49.6167,45.15,59.1833,59.2,44.25,31.1,70.2167,57.0333,56.65,33.7167,62.65,45.2333,38.1667,74.75,40.2,32.1167,44.45,38.7333,42.3667,33.6,47.4667,46.0333,53.7333,41.6333,73.2,42.6,34.9,48.9,58.8667,44.9833,49.0,39.8667,42.7333,48.4,38.9167,59.8667,61.25,40.05,24.8833,48.4833,62.7167,47.8667,68.8167,59.7833,43.8,57.7333,66.0833,36.75,67.35,68.9667,41.65,53.75,49.7667,60.6667,50.1,71.5333,39.6,58.8167,42.2667,51.0667,42.4,40.8667,59.0167,41.5167,60.3167,41.35,65.2167,40.1333,64.15,57.55,46.5167,58.95,45.3833,33.05,61.1667,65.35,39.25,40.6167,40.5833,29.3833,68.3,40.8333,39.8667,44.5333,71.6833,63.55,40.9,43.95,67.2667,41.1333,60.4667,58.8667,50.2333,47.9333,30.6167,38.9833,62.6,43.4167,63.7833,42.7,41.0167,49.8833,45.5,47.4667,43.8,52.05,52.1333,36.35,34.6667,69.5333,42.75,44.8167,56.8167,51.75,43.9333,49.6333,29.1167,31.5167,35.85,41.2,42.75,58.4167,70.7167,43.4,59.8167
29.5833,26.4333,32.1167,30.0333,37.5333,30.6833,31.5833,0.0,36.3833,18.95,29.9,14.4667,36.1167,24.8,18.85,31.4167,17.1833,18.3,12.55,32.6667,25.8167,21.8,29.2667,33.5333,23.7667,40.3,30.3667,30.1333,9.55,26.4333,20.0167,34.6333,35.25,37.1333,11.1,30.05,20.25,20.0,22.1833,23.3167,41.2167,25.7333,11.45,13.6,30.4833,23.5,25.5333,27.0333,35.2833,22.4167,21.1833,19.6333,17.85,29.6167,41.45,35.8167,23.8833,31.4667,19.9833,26.4333,36.6333,11.9167,30.7167,21.5667,19.1,20.2167,41.05,19.25,19.65,23.5333,29.8667,21.0667,19.3833,19.3833,15.1833,16.2,32.3167,30.9833,36.6333,31.95,28.3667,30.85,20.8833,17.3833,35.4833,29.8833,17.1167,24.3333,32.7667,16.45,34.45,37.4667,34.55,31.85,29.5833,38.75,20.75,37.3667,12.9667,26.8833,43.9667,25.3,24.15,23.8833,21.1667,30.35,13.55,16.95,23.8333,20.8167,31.1,32.05,8.6667,23.4833,32.3333,10.5,20.95,17.9167,23.8833,17.5167,21.05,19.3667,33.1833,32.9667,14.8333,18.8,36.8167,39.6667,22.5,9.3667,19.5167,25.7,20.9167,11.8167,30.3167,25.9667,23.3667,35.7333,29.7333,17.3667,37.05,25.5833,18.9333,27.1167,38.2167,28.5667,28.0833,43.55,31.2667,41.4667,56.2667,35.7,35.5167,38.2333,60.8667,57.95,19.4333,32.5333,37.1,66.4333,27.7167,28.5833,58.8833,53.6667,45.9833,32.6,46.8833,56.75,39.2667,34.4667,33.7667,28.6667,41.7,45.3667,43.7333,33.6167,36.1333,40.2167,25.8,39.3333,43.9167,29.4833,53.2333,43.25,43.9667,31.7333,34.0,23.7167,58.5833,23.0,48.5333,42.2167,44.5167,31.8833,32.1667,41.7,32.35,36.0167,31.1,48.05,62.6,41.7833,68.5667,32.0167,45.5833,57.45,65.95,27.4333,38.3833,68.7833,45.3,34.7667,24.5833,31.7667,30.6833,71.4667,34.4167,58.5167,21.4667,50.6333,44.5167,36.95,58.7333,43.1167,60.1333,42.95,41.8833,41.7333,64.0167,57.2667,46.05,58.65,24.6,36.4833,29.6833,36.5,43.15,42.2167,44.2333,31.5833,68.1,23.0833,43.4,46.3167,41.9833,34.6667,36.3333,44.9333,38.05,42.6833,60.3,58.5833,21.05,47.4667,28.05,34.4,33.7167,42.8167,40.55,15.8667,33.7333,32.3,35.9667,49.8167,45.5333,29.9333,26.25,37.8667,38.1,69.3667,26.2,44.3333,39.4333,45.85,45.65,49.1667,30.45,36.45,37.3667,25.0833,44.4833,58.1167,41.3333,47.05,43.6333
15.9333,19.0167,12.0,41.1667,24.3167,9.0333,30.7167,39.2333,0.0,34.4667,16.7167,33.0333,26.4667,40.4167,39.5833,22.3333,43.3333,27.0,39.0667,34.2333,30.25,30.1667,28.45,25.5,21.0167,16.75,18.5333,18.6833,41.2667,25.1833,52.3167,18.7833,6.8667,7.2667,41.15,36.9,51.7167,37.7667,55.15,38.9333,20.75,55.3167,29.0667,31.3167,20.3167,55.9333,58.55,25.3833,14.5,25.7667,52.7333,44.5,49.3333,36.4667,21.1667,29.65,26.5167,16.8,51.4667,19.0167,17.3833,40.9333,17.8167,53.9167,51.3167,52.5167,19.1167,51.65,40.3833,46.0,20.6167,43.4333,32.85,39.7833,32.9,33.0667,6.2,15.5667,3.25,11.8667,50.8167,22.1833,32.6333,46.1333,31.5,34.7,25.7667,28.4167,16.0833,48.5333,19.6833,4.1667,4.2333,16.1667,20.7,25.0167,45.0833,25.65,35.95,20.2667,22.0333,39.25,52.7333,55.4833,30.9667,10.5167,29.8667,46.95,56.0667,45.4333,22.4167,16.4833,39.75,25.1,38.7167,36.7333,52.5167,45.1667,53.4667,49.6,53.5833,51.5833,30.2,18.2667,47.05,23.25,21.3167,18.5667,54.1,41.6667,32.0833,24.5,52.4667,40.8167,37.1,26.4833,56.3333,24.6833,36.1167,48.85,16.9,32.9333,51.3333,60.2,24.9167,35.4,11.5833,47.2667,30.2833,45.1833,44.75,24.0333,44.5833,44.2167,49.1333,46.4167,46.9333,46.3667,65.55,54.65,32.2,42.0333,47.3833,47.3833,32.4333,19.2833,53.7667,45.2167,42.9833,21.8,62.25,31.15,26.3167,74.2667,28.35,20.3,32.6,26.9167,40.55,21.6667,35.65,35.3167,41.9333,29.8,58.0833,30.75,22.9833,48.7,47.05,54.9833,37.1667,28.0333,30.8667,32.6,27.1167,46.2333,60.85,28.2,11.5667,36.65,50.85,36.05,56.9667,46.6,31.95,45.9167,54.2167,24.9167,66.8167,57.1333,29.8,38.5667,49.5,60.2667,44.45,59.6833,27.75,47.0,54.8833,39.25,30.55,29.0167,47.2167,29.7,48.45,29.5333,49.5667,28.3167,52.2833,45.7333,34.6833,47.1333,59.2167,21.1833,43.9167,64.95,27.4167,28.8,28.7333,17.5,56.45,49.55,28.0167,32.6833,52.55,48.5833,29.05,32.1,44.5333,29.2667,48.6,47.05,49.95,36.1,18.7,27.1333,62.2,31.5667,49.1833,42.55,29.15,43.0333,33.6667,35.6333,31.9667,33.3333,51.65,24.5333,22.8,57.7167,42.9,32.9667,43.1667,39.9167,32.1,37.8,17.2333,19.6,24.0333,41.1667,30.9167,46.6,55.5667,31.55,45.9
26.0333,22.2333,26.5667,20.7833,23.5167,27.1833,17.5833,21.0667,32.6167,0.0,17.4333,6.8833,22.1,7.9667,24.7167,17.6167,11.6667,10.7667,24.2167,18.6833,12.0,7.0333,15.2667,19.7667,15.7167,26.25,16.5667,25.9167,26.4,12.55,34.4333,20.8333,31.4833,33.5833,26.3,16.05,37.0167,22.9667,36.7,9.1333,26.9167,36.8667,14.3167,16.4667,16.6833,37.7833,40.0333,32.4833,31.5167,11.2333,37.9333,12.8,34.4667,15.6333,27.1667,21.8,10.45,27.1,36.75,22.2333,22.8833,18.2,19.75,35.9833,25.35,34.6333,27.2,33.6333,25.5167,14.3833,18.0,11.7333,26.45,5.9,18.0667,5.55,28.5333,31.2167,32.8833,24.1167,19.2167,17.05,24.0833,31.3,21.4667,15.8833,18.4333,29.5833,33.0667,32.3333,20.5833,33.7,30.7667,20.8167,15.7833,24.4667,13.3833,23.35,21.1,22.6667,29.6667,16.15,34.85,40.6333,24.35,25.3,15.1167,28.8,41.3167,30.5333,17.3,18.25,23.4667,28.7333,18.3333,12.7,37.7167,30.25,38.6333,33.4,35.4333,33.7833,19.2,33.2667,28.9,21.8333,23.1167,25.8333,39.25,26.8,26.9667,15.6667,37.6667,12.45,16.3167,12.15,37.8833,21.7333,15.75,33.9833,23.2667,11.5833,33.3167,41.5,23.9167,14.5667,22.8167,57.1333,39.05,55.1333,62.3333,41.3333,52.1,51.45,67.0167,64.0167,32.1,45.7,50.7833,72.5333,34.55,42.0833,64.9667,67.7833,45.9833,32.6167,63.9667,62.8333,52.4667,40.1,47.4667,39.9167,42.15,59.4833,44.25,33.65,49.6167,40.4,37.7667,39.5167,53.9167,42.9833,59.2167,43.35,58.0333,39.5,39.65,33.8167,64.65,40.25,54.5333,43.85,50.3833,45.3667,37.8,58.7667,46.0667,41.65,27.55,54.05,68.75,55.3833,74.6833,44.5833,51.45,63.5167,72.0667,32.9167,52.1833,74.8833,45.7167,50.8667,34.6833,45.4667,45.2667,77.7333,40.0667,64.6,40.1333,56.6167,50.3833,42.5833,64.8167,43.1667,66.2167,43.0,58.95,41.8,70.1667,63.35,52.05,64.7333,44.4167,37.0667,45.9833,50.1667,43.25,42.2667,44.6333,37.2167,74.2,34.7333,43.9167,52.3333,56.5,48.3833,41.9667,50.8,52.1,48.55,66.3667,64.65,35.15,53.4667,28.45,40.05,47.4167,48.6833,57.6167,27.7167,39.3833,45.45,41.5833,51.5833,45.5333,36.9167,37.0,38.05,38.6833,75.4667,39.6333,50.2,52.6333,59.8833,45.6667,55.1667,30.6833,35.3167,37.55,35.1833,44.4667,64.2,55.55,47.4667,57.7
